date,currency,score,impact,direction,abs_direction
2024-01-03,USD,100.0,0.0,0.0,0.0
2024-01-09,USD,100.0,0.0,0.0,0.0
2024-01-12,USD,100.0,10.0,0.0,0.0
2024-01-17,USD,100.0,0.0,0.0,0.0
2024-01-19,CNH,20.0,0.0,0.0,0.0
2024-01-19,USD,100.0,0.0,0.0,0.0
2024-01-22,USD,100.0,0.0,0.0,0.0
2024-01-24,USD,100.0,20.0,0.0,0.0
2024-02-06,USD,100.0,10.0,20.0,20.0
2024-02-07,CAD,80.0,0.0,0.0,0.0
2024-02-07,USD,100.0,0.0,0.0,0.0
2024-02-15,USD,100.0,0.0,0.0,0.0
2024-02-16,EUR,20.0,0.0,0.0,0.0
2024-02-16,USD,100.0,0.0,0.0,0.0
2024-02-21,USD,100.0,0.0,0.0,0.0
2024-02-26,USD,100.0,10.0,20.0,20.0
2024-02-27,USD,100.0,0.0,0.0,0.0
2024-02-29,USD,100.0,5.0,10.0,10.0
2024-03-08,USD,100.0,10.0,20.0,20.0
2024-03-13,USD,100.0,10.0,20.0,20.0
2024-03-14,USD,100.0,40.0,0.0,0.0
2024-03-18,CAD,20.0,5.0,10.0,10.0
2024-03-18,USD,100.0,30.0,50.0,50.0
2024-03-21,USD,100.0,0.0,0.0,0.0
2024-03-26,USD,100.0,0.0,0.0,0.0
2024-04-01,USD,100.0,0.0,0.0,0.0
2024-04-04,USD,100.0,0.0,0.0,0.0
2024-04-10,USD,100.0,0.0,0.0,0.0
2024-04-11,USD,100.0,0.0,0.0,0.0
2024-04-16,USD,100.0,0.0,0.0,0.0
2024-04-24,USD,100.0,0.0,0.0,0.0
2024-04-29,CNH,20.0,0.0,0.0,0.0
2024-04-29,USD,100.0,10.0,10.0,10.0
2024-05-03,CNH,20.0,0.0,0.0,0.0
2024-05-03,USD,100.0,10.0,10.0,10.0
2024-05-16,USD,100.0,0.0,0.0,0.0
2024-05-22,CAD,80.0,5.0,10.0,10.0
2024-05-22,USD,100.0,10.0,20.0,20.0
2024-05-28,CNH,80.0,0.0,0.0,0.0
2024-05-28,USD,100.0,0.0,0.0,0.0
2024-05-31,CNH,80.0,0.0,0.0,0.0
2024-05-31,USD,100.0,0.0,0.0,0.0
2024-06-05,USD,100.0,0.0,0.0,0.0
2024-06-25,CAD,20.0,0.0,0.0,0.0
2024-06-25,USD,100.0,0.0,0.0,0.0
2024-07-11,USD,20.0,0.0,0.0,0.0
2024-07-30,CNH,80.0,0.0,0.0,0.0
2024-07-30,USD,100.0,0.0,0.0,0.0
2024-08-01,CAD,60.0,20.0,30.0,30.0
2024-08-01,USD,100.0,40.0,50.0,50.0
2024-08-02,USD,100.0,0.0,0.0,0.0
2024-09-13,CNH,80.0,10.0,-20.0,20.0
2024-09-13,USD,100.0,20.0,20.0,20.0
2024-09-16,USD,20.0,0.0,0.0,0.0
2024-09-19,USD,100.0,10.0,20.0,20.0
2024-09-25,EUR,80.0,5.0,10.0,10.0
2024-09-25,USD,80.0,5.0,10.0,10.0
2024-10-07,JPY,80.0,5.0,10.0,10.0
2024-10-07,USD,80.0,5.0,10.0,10.0
2024-10-18,USD,80.0,5.0,10.0,10.0
2024-10-29,USD,20.0,5.0,10.0,10.0
2024-11-13,CAD,80.0,25.0,40.0,40.0
2024-11-13,CHF,20.0,10.0,10.0,10.0
2024-11-13,CNH,20.0,10.0,10.0,10.0
2024-11-13,EUR,40.0,15.0,20.0,20.0
2024-11-13,JPY,20.0,10.0,10.0,10.0
2024-11-13,SGD,20.0,10.0,10.0,10.0
2024-11-13,USD,100.0,40.0,48.333333333333336,48.333333333333336
2024-11-14,CNH,30.0,5.0,0.0,0.0
2024-11-14,EUR,10.0,0.0,0.0,0.0
2024-11-14,JPY,10.0,0.0,0.0,0.0
2024-11-14,USD,100.0,80.0,92.44444444444444,92.44444444444444
2024-11-15,CAD,20.0,10.0,10.0,10.0
2024-11-15,CHF,20.0,10.0,10.0,10.0
2024-11-15,CNH,20.0,10.0,10.0,10.0
2024-11-15,EUR,20.0,10.0,10.0,10.0
2024-11-15,JPY,60.0,10.0,10.0,10.0
2024-11-15,SGD,20.0,10.0,10.0,10.0
2024-11-15,USD,100.0,60.0,60.0,60.0
2024-11-16,CNH,20.0,0.0,0.0,0.0
2024-11-16,USD,20.0,0.0,0.0,0.0
2024-11-17,USD,60.0,20.0,30.0,30.0
2024-11-18,CAD,50.0,5.0,15.0,15.0
2024-11-18,CHF,10.0,0.0,0.0,0.0
2024-11-18,CNH,10.0,0.0,0.0,0.0
2024-11-18,EUR,10.0,0.0,0.0,0.0
2024-11-18,JPY,10.0,0.0,0.0,0.0
2024-11-18,SGD,10.0,0.0,0.0,0.0
2024-11-18,USD,80.0,15.0,20.0,20.0
2024-11-19,CAD,20.0,10.0,10.0,10.0
2024-11-19,CHF,20.0,10.0,10.0,10.0
2024-11-19,CNH,20.0,10.0,10.0,10.0
2024-11-19,EUR,40.0,10.0,10.0,10.0
2024-11-19,JPY,20.0,10.0,10.0,10.0
2024-11-19,SGD,20.0,10.0,10.0,10.0
2024-11-19,USD,80.0,30.0,22.0,22.0
2024-11-21,CAD,20.0,0.0,0.0,0.0
2024-11-21,CHF,20.0,0.0,0.0,0.0
2024-11-21,CNH,20.0,0.0,0.0,0.0
2024-11-21,EUR,60.0,20.0,0.0,0.0
2024-11-21,JPY,20.0,0.0,0.0,0.0
2024-11-21,SGD,20.0,0.0,0.0,0.0
2024-11-21,USD,100.0,20.0,6.666666666666667,6.666666666666667
2024-12-06,CAD,20.0,0.0,0.0,0.0
2024-12-06,USD,100.0,10.0,20.0,20.0
2025-01-01,USD,100.0,20.0,50.0,50.0
2025-01-07,USD,100.0,0.0,0.0,0.0
2025-05-21,USD,100.0,40.0,50.0,50.0
2025-09-27,CHF,20.0,0.0,0.0,0.0
2025-09-27,EUR,20.0,0.0,0.0,0.0
2025-09-27,JPY,20.0,0.0,0.0,0.0
2025-09-27,USD,100.0,0.0,0.0,0.0
2025-09-27,XAU,20.0,0.0,0.0,0.0
2025-11-12,USD,100.0,0.0,0.0,0.0
2025-12-10,USD,100.0,20.0,20.0,20.0
2025-12-11,USD,100.0,10.0,20.0,20.0
2025-12-15,USD,80.0,20.0,40.0,40.0
2025-12-17,USD,100.0,40.0,50.0,50.0
2025-12-18,USD,100.0,20.0,0.0,0.0
2025-12-19,CHF,10.0,0.0,0.0,0.0
2025-12-19,EUR,20.0,0.0,0.0,0.0
2025-12-19,JPY,10.0,0.0,0.0,0.0
2025-12-19,USD,100.0,0.0,0.0,0.0
2025-12-19,XAU,10.0,0.0,0.0,0.0
2025-12-22,USD,80.0,20.0,30.0,30.0
2025-12-23,USD,100.0,30.0,50.0,50.0
2025-12-31,USD,100.0,0.0,0.0,0.0
